Protein ID	WT1	KO1	WT2	KO2	WT3	KO3	WT4	KO4	WT5	KO5	WT6	MT...49	MT...50	MT...51	MT...52	MT...53
Q8R464	3874.0115	4304.8525	5909.7153	3765.9385	3945.2395	2578.7988	3898.4233	3026.9858	4372.7861	3462.0935	2959.4114	0	0	0	0	0
Q8R480	33399.4306	31201.2579	47098.8016	33296.7566	31822.6797	36412.0569	33531.7734	28861.17	38673.840299999996	25745.8374	28571.1565	1501.9106000000002	0	0	0	0
Q8R4C2	16049.651399999999	11148.3809	20781.4727	16430.4004	14941.188999999998	14893.8208	17471.1577	15210.204600000001	15219.3564	11733.1135	14762.1675	0	0	0	0	0
Q8R4D1	14274.7637	8213.5244	16790.0586	14747.5322	10654.5371	8363.8779	13902.3262	12021.0176	14934.3672	6786.5977	10615.6514	0	0	0	0	0
Q8R4H2	86985.3713	77693.1689	115305.7329	91374.6968	79310.3653	88049.9003	80997.8199	71985.4957	92335.5871	62886.009099999996	74208.0854	1953.9978	821.716	0	0	0
Q8R4K2	13054.9184	12084.2212	17276.686	15808.4062	10815.6939	18548.587	12812.132300000001	13140.4898	15528.9605	14486.4804	10110.6912	482.35630000000003	0	0	0	0
Q8R4N0	165444.9667	80128.1197	232181.8906	146587.3998	145620.3159	59248.7034	179491.8789	111054.2334	167594.9711	59516.865	158508.5093	1817.7758	2151.7831	0	0	0
Q8R4P9	2911.481	2265.8633	4819.7988	3315.2134	4271.4321	2881.082	3488.1667	2228.5125	3100.4089	2037.3743	2951.03	0	0	0	0	0
Q8R4R6	9933.7153	9613.6949	13184.219000000001	11114.3428	8761.7498	11507.2835	9244.572400000001	10040.0455	10886.5837	9346.2358	9264.631	0	0	0	0	0
Q8R4T9	34216.912599999996	30391.2183	29658.8369	14873.8268	11773.1226	34669.7534	16367.8093	9831.4314	41806.072700000004	19596.5547	12073.9572	791.038	0	0	0	0
Q8R4U6	9854.103500000001	9833.7878	17702.5361	12577.479	11473.4936	13812.568800000001	12474.893499999998	11689.4106	13342.5332	10569.123	11055.7075	0	0	0	0	0
Q8R4U7	58663.3396	57804.4085	81571.3725	64137.8232	52127.6203	62482.4812	58376.7826	58490.2148	64915.0305	53151.2607	50649.4733	253.5304	293.2874	0	0	0
Q8R519	28268.9395	13794.6768	38836.5273	27107.1543	32972.5703	10804.8076	31172.123	18559.8184	23716.5469	10815.0508	26238.5215	0	0	0	0	0
Q8R550	20462.9395	32802.9546	34537.3696	34481.9599	21518.1997	33476.6626	25635.983399999997	26225.1624	26665.1299	31168.674300000002	15955.6843	0	788.9851	0	0	0
Q8R570	24457.178699999997	14130.830000000002	32061.5459	22519.5367	20681.9444	12965.854	23560.1026	14224.2036	21630.5259	12151.855899999999	17902.7315	0	0	0	0	0
Q8R574	40037.5157	28709.592800000002	49123.6679	35808.2509	36201.895899999996	16108.1993	37166.7525	23627.6914	36163.3725	18694.2793	30904.692900000002	0	0	0	0	0
Q8R5A3	5026.0863	9607.9885	6253.7279	8822.93	3904.4058999999997	16802.5469	2761.8521	11773.8055	6921.8906	13964.220000000001	3083.2101000000002	0	0	0	0	0
Q8R5A6	36924.4453	19603.0566	41896.8086	27324.1152	25416.8848	28456.1934	28139.625	22570.248	33246.7695	19799.9062	22350.2012	0	0	0	0	0
Q8R5C5	25807.2344	18666.6104	37669.1748	25606.1328	25234.127	18214.5415	27698.4697	20374.4839	28300.6406	16452.2725	22842.6596	0	612.5316	0	0	0
Q8R5C8	4720.7139	3905.6907	4692.7383	4268.2349	4035.4299	3252.3215	4258.3052	2613.9565	3966.8667	2823.3037	3060.804	0	0	0	0	0
Q8R5F3	8654.2051	7649.1602	12183.2803	7334.0044	7815.3027	7665.4683000000005	9134.8115	7395.6929	7966.4272	5127.5508	7781.0303	336.4204	262.0311	0	0	0
Q8R5H1	124440.691	87956.09790000001	158459.223	119578.899	105582.9688	96894.3135	116017.7003	93936.8472	124153.5226	75763.8564	98626.4896	1942.6527	689.7893	0	0	0
